Reference, Quantity, Value, Footprint, Datasheet, PartNo, Manufacturer, Distributor
C1 C4 ,2,"CP","Capacitors_THT:CP_Radial_D8.0mm_P3.50mm","","?","?","?"
C10 C11 C12 C13 C2 C3 C5 C6 C7 C8 C9 ,11,"C","Capacitors_SMD:C_0603_HandSoldering","","?","?","?"
D11 D13 D14 D4 D5 D6 D7 D8 D9 ,9,"SMCJ12CA","Diodes_SMD:DO-214AB_Handsoldering","https://en.wikipedia.org/wiki/Transient-voltage-suppression_diode"
D1 D10 D12 D2 D3 ,5,"D_Small","Diodes_SMD:D_SOD-323_HandSoldering",""
F1 ,1,"Fuse","Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_open_Schurter_0031_8201","","0031.8201","SCHURTER","?"
J1 ,1,"5V_IN","door:TerminalBlock_WAGO-205_2pol","","?","?","?"
J2 ,1,"Conn_02x17_Odd_Even","Connectors_IDC:IDC-Header_2x17_Pitch2.54mm_Straight","","?","?","2215313"
J3 ,1,"Conn_01x06","door:TerminalBlock_WAGO-205_10pol","","?","?","?"
J4 ,1,"Conn_01x10","door:TerminalBlock_WAGO-205_10pol","","?","?","?"
MK1 MK2 ,2,"Mounting_Hole","door:DIN_CLIP","","?","?","?"
Q1 ,1,"Q_NMOS_GSD","Housings_SOT-23_SOT-143_TSOT-6:SOT-23_Handsoldering","","?","?","?"
Q2 ,1,"Q_NMOS_GSD","TO_SOT_Packages_THT:TO-220-3_Vertical","","?","?","?"
R1 R16 R17 R18 R19 R2 R3 R4 R5 R6 R7 ,11,"R","Resistors_SMD:R_0603_HandSoldering",""
R10 R11 R12 R13 R14 R15 R20 R21 R8 R9 ,10,"R_Small","Resistors_SMD:R_0603_HandSoldering",""
U1 U6 ,2,"R-78E3.3-0.5","Converters_DCDC_ACDC:DCDC-Conv_RECOM_R-78E-0.5","https://www.recom-power.com/pdf/Innoline/R-78Exx-0.5.pdf","?","?","?"
U3 ,1,"ADM2482","Housings_SOIC:SOIC-16W_7.5x10.3mm_Pitch1.27mm","","ADM2487EBRWZ","ANALOG DEVICES","?"
U2 U4 U5 U7 U8 ,5,"TLP127","Housings_SSOP:MFSOP6-4_4.4x3.6mm_Pitch1.27mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=16902&prodName=TLP127","?","?","?"
